Code,Drug Name,Pack Size,Strength Measure,Name,Reimbursement Price,Non Proprietary Name,Ref Price,Dental,Reference Priced,INN
93668,Coloplast Conveen Prep Wipe 62042 54 (A),54,,COLOPLAST 62042 CONVEEN PREP ,12.46,,0.0,N,N,
93680,ConvaTec Careline+ Sterile Leg Bag with T Tap 500 ml. Bag Short Tube with Gloves 45-05-SVCG 10 (A),10,,CONVATEXC 45-05-SVCG CARELINE+ STERILE LEG BAG WITH T TAP 500 ML BAG SHORT TUBE WITH GLOVES,30.58,,0.0,N,N,
93684,Convatec 420787 Niltac Spray 50 ml. TR101 1 (A),1,,CONVATEC TR101 420787 NILTAC SPRAY 50 ML,8.71,,0.0,N,N,
93685,ConvaTec 420788 Niltac Wipes TR102 30 (A),30,,CONVATEC TR102 420788 NILTAC WIPES ,14.33,,0.0,N,N,
93686,ConvaTec Esteem+ 1 Piece Pouch Closed Small Tan & Clear with Filter 416702/05/08/11/14 30 (A),30,,CONVATEC 416702/05/08/11/14 ESTEEM+ 1 PIECE POUCH CLOSED SMALL TAN & CLEAR WITH FILTER ,91.22,,0.0,N,N,
13406,Celecoxib (Actavis) Hard Caps. 100 mg. 60 (A),60,100MG,CELECOXIB (ACTAVIS),10.74,,0.0,N,N,CELECOXIB
13407,Celecoxib (Actavis) Hard Caps. 200 mg. 30 (A),30,200MG,CELECOXIB (ACTAVIS),10.72,,0.0,N,N,CELECOXIB
93428,Eakin Pelican Drainable Pouch Flat Standard Opaque 839324/25/26/27/28/29/30/31/32/33/34/35 30 (A),30,,EAKIN 839324/25/26/27/28/29/30/31/32/33/34/35 PELICAN DRAINABLE POUCH FLAT STANDARD OPAQUE,100.14,,0.0,N,N,
93511,Hollister Moderma Flex Maxi Drainable Pouch with Integral Convexity Flexwear Skin Barrier with Lock n Roll Closure (Beige) 35 mm 56835 30 (A),30,,HOLLISTER 56835 MODERMA FLEX MAXI DRAINABLE POUCH SKIN BARRIER WITH LOCK N ROLL CLOSURE (BEIGE) 35MM,157.23,,0.0,N,N,
93515,Hollister Moderma Flex Maxi Drainable Pouch with Integral Convexity Flexwear Skin Barrier with Lock n Roll Closure (Beige) 45 mm 56845 30 (A),30,,HOLLISTER 56845 MODERMA FLEX MAXI DRAINABLE POUCH SKIN BARRIER WITH LOCK N ROLL CLOSURE (BEIGE) 45MM,157.23,,0.0,N,N,
93516,Hollister Moderma Flex High Output Pouch with AF300 Filter and Soft Drain Tap 13-64 mm. 26064 10 (A),10,,HOLLISTER 26064 MODERMA FLEX HIGH OUTPUT POUCH WITH AF300 FILTER AND SOFT DRAIN TAP 13-64MM,37.74,,0.0,N,N,
93526,Hunter Non Coated Intermittent Catheter SNM08-SNM14 30 (A),30,,HUNTER SNM08-SNM14 NON COATED INTERMITTENT CATHETER,40.19,,0.0,N,N,
93528,"Laker Dansac Novalife 1 Open Convex Clear/Opaque Pouch 941-24 - 941-50, 942-24 - 942-59 10 (A)",10,,"LAKER 941-24 - 941-50, 942-24 - 942-59 DANSAC NOVALIFE 1 OPEN CONVEX CLEAR/OPAQUE POUCH",51.57,,0.0,N,N,
93534,Laker Dansac Novalife 1 Open Soft Convex Easiview 25 mm 981-25 10 (A),10,,LAKER 981-25 DANSAC NOVALIFE 1 OPEN SOFT CONVEX EASIVIEW 25MM,52.37,,0.0,N,N,
93535,Convatec Careline Sterile Leg Bag with Lever Tap 750 ml. Bag Short Tube 46-09-SVC 10 (A),10,,CONVATEC 46-09-SVC CARELINE STERILE LEG BAG WITH LEVER TAP 750 ML BAG SHORT TUBE,30.58,,0.0,N,N,
