value,code,label
REF_CLASS_ATC:A10AF01,A10AF01,A10AF01 - insulin (human)
REF_CLASS_ATC:A10BA01,A10BA01,A10BA01 - phenformin
REF_CLASS_ATC:A10BA02,A10BA02,A10BA02 - metformin
REF_CLASS_ATC:A10BB01,A10BB01,A10BB01 - glibenclamide
REF_CLASS_ATC:A10BB03,A10BB03,A10BB03 - tolbutamide
REF_CLASS_ATC:A10BB07,A10BB07,A10BB07 - glipizide
REF_CLASS_ATC:A10BB08,A10BB08,A10BB08 - gliquidone
REF_CLASS_ATC:A10BB09,A10BB09,A10BB09 - gliclazide
REF_CLASS_ATC:A10BB12,A10BB12,A10BB12 - glimepiride
REF_CLASS_ATC:A10BD02,A10BD02,A10BD02 - metformin and sulfonylureas
REF_CLASS_ATC:A10BD03,A10BD03,A10BD03 - metformin and rosiglitazone
REF_CLASS_ATC:A10BD04,A10BD04,A10BD04 - glimepiride and rosiglitazone
REF_CLASS_ATC:A10BD05,A10BD05,A10BD05 - metformin and pioglitazone
REF_CLASS_ATC:A10BD06,A10BD06,A10BD06 - glimepiride and pioglitazone
REF_CLASS_ATC:A10BD07,A10BD07,A10BD07 - metformin and sitagliptin
REF_CLASS_ATC:A10BD08,A10BD08,A10BD08 - metformin and vildagliptin
REF_CLASS_ATC:A10BD09,A10BD09,A10BD09 - pioglitazone and alogliptin
REF_CLASS_ATC:A10BD10,A10BD10,A10BD10 - metformin and saxagliptin
REF_CLASS_ATC:A10BD11,A10BD11,A10BD11 - metformin and linagliptin
REF_CLASS_ATC:A10BD13,A10BD13,A10BD13 - metformin and alogliptin
REF_CLASS_ATC:A10BD15,A10BD15,A10BD15 - metformin and dapagliflozin
REF_CLASS_ATC:A10BD16,A10BD16,A10BD16 - metformin and canagliflozin
REF_CLASS_ATC:A10BD19,A10BD19,A10BD19 - linagliptin and empagliflozin
REF_CLASS_ATC:A10BD20,A10BD20,A10BD20 - metformin and empagliflozin
REF_CLASS_ATC:A10BD21,A10BD21,A10BD21 - saxagliptin and dapagliflozin
REF_CLASS_ATC:A10BD25,A10BD25,"A10BD25 - metformin, saxagliptin and dapagliflozin"
REF_CLASS_ATC:A10BF01,A10BF01,A10BF01 - acarbose
REF_CLASS_ATC:A10BF02,A10BF02,A10BF02 - miglitol
REF_CLASS_ATC:A10BG02,A10BG02,A10BG02 - rosiglitazone
REF_CLASS_ATC:A10BG03,A10BG03,A10BG03 - pioglitazone
REF_CLASS_ATC:A10BH01,A10BH01,A10BH01 - sitagliptin
REF_CLASS_ATC:A10BH02,A10BH02,A10BH02 - vildagliptin
REF_CLASS_ATC:A10BH03,A10BH03,A10BH03 - saxagliptin
REF_CLASS_ATC:A10BH04,A10BH04,A10BH04 - alogliptin
REF_CLASS_ATC:A10BH05,A10BH05,A10BH05 - linagliptin
REF_CLASS_ATC:A10BJ01,A10BJ01,A10BJ01 - exenatide
REF_CLASS_ATC:A10BJ02,A10BJ02,A10BJ02 - liraglutide
REF_CLASS_ATC:A10BJ03,A10BJ03,A10BJ03 - lixisenatide
REF_CLASS_ATC:A10BJ04,A10BJ04,A10BJ04 - albiglutide
REF_CLASS_ATC:A10BJ05,A10BJ05,A10BJ05 - dulaglutide
REF_CLASS_ATC:A10BJ06,A10BJ06,A10BJ06 - semaglutide
REF_CLASS_ATC:A10BK01,A10BK01,A10BK01 - dapagliflozin
REF_CLASS_ATC:A10BK03,A10BK03,A10BK03 - empagliflozin
REF_CLASS_ATC:A10BK06,A10BK06,A10BK06 - sotagliflozin
REF_CLASS_ATC:A10BX02,A10BX02,A10BX02 - repaglinide
REF_CLASS_ATC:A10BX03,A10BX03,A10BX03 - nateglinide
REF_CLASS_ATC:A10BX06,A10BX06,A10BX06 - benfluorex
REF_CLASS_ATC:A10BX16,A10BX16,A10BX16 - tirzepatide
REF_CLASS_ATC:A10XX01,A10XX01,A10XX01 - teplizumab
REF_CLASS_ATC:A11AA03,A11AA03,"A11AA03 - multivitamins and other minerals, incl. combinations"
REF_CLASS_ATC:A11CA01,A11CA01,A11CA01 - retinol (vit A)
REF_CLASS_ATC:A11CC01,A11CC01,A11CC01 - ergocalciferol
REF_CLASS_ATC:A11CC03,A11CC03,A11CC03 - alfacalcidol
REF_CLASS_ATC:A11CC04,A11CC04,A11CC04 - calcitriol
REF_CLASS_ATC:A11CC05,A11CC05,A11CC05 - colecalciferol
REF_CLASS_ATC:A11CC06,A11CC06,A11CC06 - calcifediol
REF_CLASS_ATC:A11CC20,A11CC20,A11CC20 - combinations
REF_CLASS_ATC:A11DA01,A11DA01,A11DA01 - thiamine (vit B1)
REF_CLASS_ATC:A11DA02,A11DA02,A11DA02 - sulbutiamine
REF_CLASS_ATC:A11DA03,A11DA03,A11DA03 - benfotiamine
REF_CLASS_ATC:A11GA01,A11GA01,A11GA01 - ascorbic acid (vit C)
REF_CLASS_ATC:A11GB01,A11GB01,A11GB01 - ascorbic acid (vit C) and calcium
