Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Titolare AIC;AIC;Codice Gruppo Equivalenza;X=in lista di trasparenza Aifa 15/10/2025 ;Solo in lista di Regione:;Metri cubi ossigeno 
Dienogest;DIENOGEST 2MG 28 UNITA' USO ORALE;ZAFRILLA*28 cpr 2 mg;17,15;GEDEON RICHTER PLC;046945010;DYU;X;;
Dienogest;DIENOGEST 2MG 84 UNITA' USO ORALE;DEVICIUS*84 cpr rivestite 2 mg;31,50;STRAGEN NORDIC A/S;046307029;KYS;X;;
Dienogest;DIENOGEST 2MG 84 UNITA' USO ORALE;ENDODIEN*84 cpr rivestite 2 mg;31,50;FARMITALIA Srl;046169025;KYS;X;;
Dienogest;DIENOGEST 2MG 84 UNITA' USO ORALE;ENDOVELLE*3x28 cpr 2 mg confezione calendario;31,50;EXELTIS HEALTHCARE S.L.;046899023;KYS;X;;
Dienogest;DIENOGEST 2MG 84 UNITA' USO ORALE;VIDAGEST*84 cpr 2 mg;31,50;SANDOZ SpA;048681023;KYS;X;;
Dienogest;DIENOGEST 2MG 84 UNITA' USO ORALE;ZAFRILLA*3x28 cpr 2 mg;31,50;GEDEON RICHTER PLC;046945022;KYS;X;;
Dienogest;DIENOGEST 2MG 168 UNITA' USO ORALE;ZAFRILLA*6x28 cpr 2 mg;62,99;GEDEON RICHTER PLC;046945034;KZI;;;
Diflucortolone;DIFLUCORTOLONE 0,3% 20G USO DERMATOLOGICO;DERMAVAL*crema derm idrofoba 20 g 0,3%;4,89;MORGAN Srl;025804042;KCB;;;
Diflucortolone;DIFLUCORTOLONE 0,3% 20G USO DERMATOLOGICO;TEMETEX*crema derm idrofoba 20 g 0,3%;4,89;TEOFARMA Srl;023682115;KCB;;;
Diflucortolone;DIFLUCORTOLONE 0,3% 30G USO DERMATOLOGICO;DERVIN*crema derm 30 g 0,3%;6,98;BIONATIVA SpA;028270066;KCC;;;
Digossina;DIGOSSINA 0,05MG/ML 60ML USO ORALE;LANOXIN*1 flacone 60 ml 0,05 mg/ml sciroppo;2,79;ASPEN PHARMA TRADING LIMITED;015724077;KDA;;;
Digossina;DIGOSSINA 0,0625MG 30 UNITA' USO ORALE;LANOXIN*30 cpr 0,0625 mg;2,01;ASPEN PHARMA TRADING LIMITED;015724065;KDB;;;
Digossina;DIGOSSINA 0,125MG 30 UNITA' USO ORALE;LANOXIN*30 cpr 0,125 mg;2,07;ASPEN PHARMA TRADING LIMITED;015724038;KDC;;;
Digossina;DIGOSSINA 0,25MG 30 UNITA' USO ORALE;LANOXIN*30 cpr 0,25 mg;2,32;ASPEN PHARMA TRADING LIMITED;015724026;KDE;;;
Digossina;DIGOSSINA 0,5MG/2ML 6 UNITA' USO PARENTERALE;LANOXIN*6 fiale 0,5 mg 2 ml;4,70;ASPEN PHARMA TRADING LIMITED;015724053;KDG;;;
Diidrochinidina;DIIDROCHINIDINA 150MG 40 UNITA' USO ORALE;IDROCHINIDINA LIRCA*40 cpr 150 mg;7,31;TEOFARMA Srl;005494024;KEA;;;
Diidrocodeina;DIIDROCODEINA 10,25MG/ML 14,63ML USO ORALE;PARACODINA*orale gtt flaconcino 14,63 ml 10,25 mg/ml;4,68;TEOFARMA Srl;015960014;KFA;;;
Diidrocodeina/acido benzoico;DIIDROCODEINA+ACIDO BENZOICO 100G USO ORALE;PARACODINA SCIROPPO*1 flacone 100 g sciroppo 12 mg/5 ml + 12 mg/5 ml;4,90;TEOFARMA Srl;008096024;KGA;;;
Diltiazem;DILTIAZEM 120MG 28 UNITA' USO ORALE RM;DILTIAZEM*28 cps 120 mg rilascio modificato;6,27;EG SpA;032808014;14A;;;
Diltiazem;DILTIAZEM 60MG 50 UNITA' USO ORALE;ALTIAZEM*50 cpr 60 mg rilascio modificato;5,87;IST.LUSOFARMACO D'ITALIA SpA;025271014;14B;X;;
Diltiazem;DILTIAZEM 60MG 50 UNITA' USO ORALE;DILADEL*50 cpr 60 mg rilascio modificato;4,67;ZENTIVA ITALIA Srl;025275013;14B;X;;
Diltiazem;DILTIAZEM 60MG 50 UNITA' USO ORALE;DILTIAZEM*50 cpr 60 mg;4,67;EG SpA;032808040;14B;X;;
Diltiazem;DILTIAZEM 60MG 50 UNITA' USO ORALE;DILTIAZEM*50 cpr 60 mg rilascio modificato;4,67;MYLAN SpA;026675013;14B;X;;
